candidate_id,mpid,full_name_mm,honorific,name,alias,photo_url,birthdate_orig,birthdate,age,gender,ethnicity_mm,ethnicity,religion_mm,religion,education_mm,education,occupation_mm,occupation,retired,ward_village_mm,house,state_mm,state,constituency_name_mm,constituency_number,constituency_name,constituency_name_code,ST_PCODE,DT_PCODE,TS_PCODE,AM_PCODE,party_mm,party,party_short,independent_logo,election,votes,total_votes
eeb339ecb4fa5c0532039b9be4b9e6ae,,__________ (_) ________,U,Win Htut,Mya Win,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UWinHtout%40UMyaWin.PNG,12/7/1956,20796,60.3,M,____,Mon,_____,Buddhist,A.G.T.I (Civil Engineering),A.G.T.I (Civil Engineering),___________________ _________ (_________),manager at ministry of irrigation,1,___________________,pyithu,____,Mon,___________________,0,Chaungzon,Chaungzon-0,MMR011,MMR011D001,MMR011003,,________________________________,All Mon Regions Democracy Party,Mon DP,,2017,,
9ca020eb680dd39887b5c6134f120586,,________________ (_) ____________,Nai,Sein Mya Maung,Mya Maung,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_NaingSainMg%40NaingMyaMg.PNG,3/6/1952,19059,65.0,M,____,Mon,_____,Buddhist,LL.B _ JATC,LL.B; JATC,(__________) __________,teacher,1,_______________ ___________________,pyithu,____,Mon,___________________,0,Chaungzon,Chaungzon-0,MMR011,MMR011D001,MMR011003,,_________________,Mon National Party,MNP,,2017,,
41f4874b4ce2cbf579fffbeecd08d7a0,,_________,U,Aye Win,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UAyeWin.PNG,10/20/1967,24765,49.4,M,___,Bamar,_____,Buddhist,B.Sc (Chemistry),B.Sc (Chemistry),_______ (_________),trader,,_____________ _________,pyithu,____,Mon,___________________,0,Chaungzon,Chaungzon-0,MMR011,MMR011D001,MMR011003,,_________________________________,National League for Democracy,NLD,,2017,,
e56af6d5c6ac572a9d9af5ff89e329d1,,_______________,U,Zaw Lin Aung,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UZawLinAg.PNG,6/3/1984,30836,32.8,M,______,Rakhine,_____,Buddhist,"First Year (Humanity) Mahachulalongkorn University, Bangkok Thailand","First Year (Humanity) Mahachulalongkorn University, Bangkok Thailand",____________________________,phone accessories shop owner,,_____(_)________ _________,pyithu,______,Rakhine,_____________,0,Ann,Ann-0,MMR012,MMR012D003,MMR012014,,____________,Independent,Independent,https://storage.googleapis.com/staticassets/independent_logos/Rakhine_ann_UZawLinAung.jpg,2017,,
7a00653e6b8e0da1b0b76e3f9eedcab4,,______________,U,Thaung Nyein,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UThaingNyain.PNG,11/7/1963,23322,53.3,M,______,Rakhine,_____,Buddhist,_________ (_______),B.A (History) (3rd year),______(______),educator,1,______________ _____ (_) _______,pyithu,______,Rakhine,_____________,0,Ann,Ann-0,MMR012,MMR012D003,MMR012014,,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
217567ae78736d58abba5fe7ab7029bd,,_______________,Dr,Aye Maung,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DrAyeMg.PNG,11/1/1957,21125,59.3,M,______,Rakhine,_____,Buddhist,B.V.S (ygn),B.V.S (Ygn),_/__________ (______) _______________,director at ministry,1,____________ _______________,pyithu,______,Rakhine,_____________,0,Ann,Ann-0,MMR012,MMR012D003,MMR012014,,___________________,Arakan National Party,ANP,,2017,,
cd9f9b2fd87f24a3910885eb1c4d811e,,_______________,U,Zaw Win Myint,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UZawWinMyint.PNG,8/17/1960,22145,56.6,M,______,Rakhine,_____,Buddhist,________ (____)_ ___________________,B.A (Geography) (3rd year) (Sittwe Degree College),____________________________,stationery shop owner,,_____(_)_ ________________ _________,pyithu,______,Rakhine,_____________,0,Ann,Ann-0,MMR012,MMR012D003,MMR012014,,_________________________________,National League for Democracy,NLD,,2017,,
7d46e3ee1e62343a6f7f57fb5f69fdae,,___________,U,Zaw Tun,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UZawTun.PNG,4/5/1980,29316,36.9,M,___,Bamar,_____,Buddhist,MBA (___________________ _________________ _______),MBA,__________,teacher,,____________________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,____________,Independent,Independent,https://storage.googleapis.com/staticassets/independent_logos/YangonKawMhu_UZawHtun.jpg,2017,,
f027860eb897607d5681c138c16d1f6e,,_______________,U,Myo Thiha Tun,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UMyoThihaTun.PNG,2/24/1977,28180,40.1,M,___,Bamar,_____,Buddhist,M.A(Q)Philosophy,M.A(Q)Philosophy,________ ____________________________________ (RDN),official at rural development network,,_______________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,____________,Independent,Independent,https://storage.googleapis.com/staticassets/independent_logos/Yangon_KawMuu_UMyoThihaHtun.jpg,2017,,
cb991797f3b4328e46531d9f67f99eae,,_______________,Daw,Sain Kyawt Nu,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DawSainKyawtNu.PNG,4/3/1972,26392,44.9,F,______,Rakhine,_____,Buddhist,"B.Sc (Botany), ICT Diploma",B.Sc (Botany); ICT Diploma,MPPE _____________,civil servant,,(_____ _) _______,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,________________(______),Democratic Party (Myanmar),DPM,,2017,,
53527d3709554b320306dffdd83aa687,,_______________,U,Kyaw Zin Hein,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UKyawZinHein.PNG,8/28/1979,29095,37.6,M,___,Bamar,_____,Buddhist,B.A (Business Science),B.A (Business Science),_________,shop owner,,________________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
97a9211dcf01023617acad4cc864693b,,_________,U,Saw Win,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_USawWin.PNG,1/4/1966,24111,51.2,M,___,Bamar,_____,Buddhist,_______,8th standard,_______,trader,,__________________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,____-_____ ________________,Phlone-Sqaw Democratic Party,PSDP,,2017,,
5c7a23f54e71afba3e5a3c15ef6a8e64,,______________,Daw,Khin Khin Lin,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DawKhinKhinLin.PNG,10/23/1970,25864,46.4,F,___,Bamar,_____,Buddhist,(__) ____,10th standard,_____________________,fisheries owner,,_________________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,__________________________________________________,Myanmar Farmer’s Development Party,#N/A,,2017,,
88aed4c976c2ebd106d3168dc0cc5834,,________________,Daw,NiLar Soe Tint,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DawNiLarSoeTint.PNG,2/16/1980,29267,37.1,F,___,Bamar,_____,Buddhist,(__) ____,10th standard,__________,politician,,___________________ __________________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,___________________________,Myanmar National Congress,MNC,,2017,,
441937441ea50c2bb04b2997be4ea509,,_____________________,U,Myo Maung Maung Soe,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UMyoMgMgSoe.PNG,12/11/1975,27739,41.3,M,___,Bamar,_____,Buddhist,"LL.B, DIL, DPM, MPM",LL.B; DIL; DPM; MPM,___________________,lawyer,,________________ ________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,_______________________,National Development Party,NDP,,2017,,
8210f6d415f62fb9b3f068d97cce062f,,______________ (_) _______,U,Kyaw Swe Win,Ar Luu,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UKyawSweWin%40UArLuu.PNG,5/3/1969,25326,47.8,M,___,Bamar,_____,Buddhist,B.A (Myanmar),B.A (Myanmar),_______,tutor,,______/ ____________,pyithu,_______,Yangon,_________________,0,Kawhmu,Kawhmu-0,MMR013,MMR013D003,MMR013028,,_________________________________,National League for Democracy,NLD,,2017,,
298db8fb8e89d36a614f5cdb1ba5a0d5,,_________________,Dr,Aung Myo,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DrAungMyo.PNG,12/22/1958,21541,58.3,M,___,Bamar,_____,Buddhist,_________(_______)_ __________ __________ _________,B.A (History); M.A; M.Res; PhD,_____________ _________________________ _____________________ (______),author; civil servant; director at ministry,1,_____ (__) _______,pyithu,_______,Yangon,____________(________)_________,0,Dagon Myothit (Seikkan),Dagon Myothit (Seikkan)-0,MMR013,MMR013D002,MMR013021,,____________,Independent,Independent,https://storage.googleapis.com/staticassets/independent_logos/Yangon_DagonMyoThit_DrAungMyo.jpg,2017,,
06c57d54fd90a578f15e21aeb640895c,,_________,U,Khin Win,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UKhinWin.PNG,12/26/1960,22276,56.3,M,___,Bamar,_____,Buddhist,__________ (______),B.Sc (Physics),_______,trader,,_,pyithu,_______,Yangon,____________(________)_________,0,Dagon Myothit (Seikkan),Dagon Myothit (Seikkan)-0,MMR013,MMR013D002,MMR013021,,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
3b573a3fad33799a471906cc10d54b8f,,_________________,U,Thel Maung Maung Htet,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UThelMgMgHtet.PNG,10/4/1985,31324,31.4,M,___,Bamar,_____,Buddhist,_______,10th standard,___________,trader,,_____ (__) _______,pyithu,_______,Yangon,____________(________)_________,0,Dagon Myothit (Seikkan),Dagon Myothit (Seikkan)-0,MMR013,MMR013D002,MMR013021,,_______________________,National Development Party,NDP,,2017,,
18c43234d6ad3979268870faed966b9c,,__________,U,Aung Zin,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UAungZin.PNG,6/29/1958,21365,58.8,M,___,Bamar,_____,Buddhist,B.A (________),B.A (Myanmar),__________,painter,,_,pyithu,_______,Yangon,____________(________)_________,0,Dagon Myothit (Seikkan),Dagon Myothit (Seikkan)-0,MMR013,MMR013D002,MMR013021,,_______________________________,National Democratic Force,NDF,,2017,,
853cdf965a61e6aa1170a0386ff45148,,________,U,Mya Sain,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UMyaSain.PNG,12/16/1952,19344,64.3,M,___,Bamar,_____,Buddhist,"LLB, HGP, DML, DIL, DRL",LL.B; HGP; DML; DIL; DRL,___________ (__________),manager,1,_,pyithu,_______,Yangon,____________(________)_________,0,Dagon Myothit (Seikkan),Dagon Myothit (Seikkan)-0,MMR013,MMR013D002,MMR013021,,_________________________________,National League for Democracy,NLD,,2017,,
11fc780fe78318d84ce9c865bd4860e9,,____________,Daw,Ohn Mar Tin,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DawOhnMarTin.PNG,8/30/1964,23619,52.5,F,___,Bamar,_____,Buddhist,BA (Hist),B.A (History),_______,trader,,_,pyithu,_______,Yangon,____________(___________)_________,0,Dagon Myothit (East),Dagon Myothit (East)-0,MMR013,MMR013D002,MMR013020,,________________(______),Democratic Party (Myanmar),DPM,,2017,,
78a18ba394bc62eac926e2d949649041,,________,U,Nay Lin,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UNayLin.PNG,1/30/1973,26694,44.1,M,___,Bamar,_____,Buddhist,____ (_______),B.A (History),___________,trader,,_,pyithu,_______,Yangon,____________(___________)_________,0,Dagon Myothit (East),Dagon Myothit (East)-0,MMR013,MMR013D002,MMR013020,,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
52133d26169c2bba01958d980b208008,,___________ (_) __________,U,Zaw Aung,Nyo Tun,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UZawAung%40UNyoTun.PNG,10/19/1964,23669,52.4,M,___,Bamar,_____,Buddhist,__________ (________),B.A (Myanmar) (4th year),_________ _________,author; director,,_________________ _____,pyithu,_______,Yangon,____________(___________)_________,0,Dagon Myothit (East),Dagon Myothit (East)-0,MMR013,MMR013D002,MMR013020,,_______________,New Society Party,NSP,,2017,,
7e7f497fb9186a5b63e16f54e3fece70,,___________,Daw,Khin Malar,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DawKhinMalar.PNG,4/16/1956,20561,60.9,F,___,Bamar,_____,Buddhist,B.A(____)_ _________ (Thesis),B.A (Geography); M.A (Thesis),______________________________,small home industrial business owner,,_,pyithu,_______,Yangon,____________(___________)_________,0,Dagon Myothit (East),Dagon Myothit (East)-0,MMR013,MMR013D002,MMR013020,,_______________________________,National Democratic Force,NDF,,2017,,
